model_version,case,outcome,sum_net_wei,expected_sum_net_wei,deviation_wei
stake-vote-econ-v2.0.0,264,correct,0,0,0
stake-vote-econ-v2.0.0,265,void,0,0,0
stake-vote-econ-v2.0.0,266,void,0,0,0
stake-vote-econ-v2.0.0,267,void,0,0,0
stake-vote-econ-v2.0.0,268,wrong,0,0,0
stake-vote-econ-v2.0.0,269,wrong,-1,-1,0
stake-vote-econ-v2.0.0,270,void,0,0,0
stake-vote-econ-v2.0.0,271,void,0,0,0
stake-vote-econ-v2.0.0,272,void,0,0,0
stake-vote-econ-v2.0.0,273,void,0,0,0
stake-vote-econ-v2.0.0,274,void,0,0,0
stake-vote-econ-v2.0.0,275,wrong,0,0,0
stake-vote-econ-v2.0.0,276,correct,0,0,0
stake-vote-econ-v2.0.0,277,correct,0,0,0
stake-vote-econ-v2.0.0,278,wrong,0,0,0
stake-vote-econ-v2.0.0,279,wrong,0,0,0
stake-vote-econ-v2.0.0,280,correct,0,0,0
stake-vote-econ-v2.0.0,281,correct,0,0,0
stake-vote-econ-v2.0.0,282,void,0,0,0
stake-vote-econ-v2.0.0,283,wrong,0,0,0
stake-vote-econ-v2.0.0,284,void,0,0,0
stake-vote-econ-v2.0.0,285,void,0,0,0
stake-vote-econ-v2.0.0,286,correct,0,0,0
stake-vote-econ-v2.0.0,287,correct,0,0,0
stake-vote-econ-v2.0.0,288,void,0,0,0
stake-vote-econ-v2.0.0,289,correct,0,0,0
stake-vote-econ-v2.0.0,290,wrong,0,0,0
stake-vote-econ-v2.0.0,291,wrong,0,0,0
stake-vote-econ-v2.0.0,292,correct,0,0,0
stake-vote-econ-v2.0.0,293,correct,0,0,0
stake-vote-econ-v2.0.0,294,correct,0,0,0
stake-vote-econ-v2.0.0,295,void,0,0,0
stake-vote-econ-v2.0.0,296,correct,0,0,0
stake-vote-econ-v2.0.0,297,void,0,0,0
stake-vote-econ-v2.0.0,298,wrong,0,0,0
stake-vote-econ-v2.0.0,299,correct,0,0,0
stake-vote-econ-v2.0.0,300,correct,0,0,0
stake-vote-econ-v2.0.0,301,void,0,0,0
stake-vote-econ-v2.0.0,302,correct,0,0,0
stake-vote-econ-v2.0.0,303,wrong,-5,-5,0
stake-vote-econ-v2.0.0,304,void,0,0,0
stake-vote-econ-v2.0.0,305,wrong,0,0,0
stake-vote-econ-v2.0.0,306,void,0,0,0
stake-vote-econ-v2.0.0,307,void,0,0,0
stake-vote-econ-v2.0.0,308,correct,0,0,0
stake-vote-econ-v2.0.0,309,correct,0,0,0
stake-vote-econ-v2.0.0,310,wrong,-13,-13,0
stake-vote-econ-v2.0.0,311,wrong,0,0,0
stake-vote-econ-v2.0.0,312,wrong,0,0,0
stake-vote-econ-v2.0.0,313,void,0,0,0
stake-vote-econ-v2.0.0,314,correct,0,0,0
stake-vote-econ-v2.0.0,315,correct,0,0,0
stake-vote-econ-v2.0.0,316,void,0,0,0
stake-vote-econ-v2.0.0,317,void,0,0,0
stake-vote-econ-v2.0.0,318,wrong,0,0,0
stake-vote-econ-v2.0.0,319,wrong,0,0,0
stake-vote-econ-v2.0.0,320,correct,-2,-2,0
stake-vote-econ-v2.0.0,321,correct,0,0,0
stake-vote-econ-v2.0.0,322,correct,0,0,0
stake-vote-econ-v2.0.0,323,wrong,0,0,0
stake-vote-econ-v2.0.0,324,correct,0,0,0
stake-vote-econ-v2.0.0,325,void,0,0,0
stake-vote-econ-v2.0.0,326,wrong,0,0,0
stake-vote-econ-v2.0.0,327,void,0,0,0
stake-vote-econ-v2.0.0,328,void,0,0,0
stake-vote-econ-v2.0.0,329,void,0,0,0
stake-vote-econ-v2.0.0,330,wrong,0,0,0
stake-vote-econ-v2.0.0,331,wrong,0,0,0
stake-vote-econ-v2.0.0,332,wrong,-4,-4,0
stake-vote-econ-v2.0.0,333,wrong,0,0,0
stake-vote-econ-v2.0.0,334,correct,0,0,0
stake-vote-econ-v2.0.0,335,wrong,0,0,0
stake-vote-econ-v2.0.0,336,correct,-1,-1,0
stake-vote-econ-v2.0.0,337,correct,0,0,0
stake-vote-econ-v2.0.0,338,wrong,0,0,0
stake-vote-econ-v2.0.0,339,correct,0,0,0
stake-vote-econ-v2.0.0,340,wrong,0,0,0
stake-vote-econ-v2.0.0,341,correct,0,0,0
stake-vote-econ-v2.0.0,342,wrong,0,0,0
stake-vote-econ-v2.0.0,343,void,0,0,0
stake-vote-econ-v2.0.0,344,wrong,0,0,0
stake-vote-econ-v2.0.0,345,correct,-1,-1,0
stake-vote-econ-v2.0.0,346,correct,0,0,0
stake-vote-econ-v2.0.0,347,wrong,0,0,0
stake-vote-econ-v2.0.0,348,correct,0,0,0
stake-vote-econ-v2.0.0,349,correct,-13,-13,0
stake-vote-econ-v2.0.0,350,correct,0,0,0
stake-vote-econ-v2.0.0,351,wrong,0,0,0
stake-vote-econ-v2.0.0,352,void,0,0,0
stake-vote-econ-v2.0.0,353,wrong,0,0,0
stake-vote-econ-v2.0.0,354,void,0,0,0
stake-vote-econ-v2.0.0,355,correct,0,0,0
stake-vote-econ-v2.0.0,356,void,0,0,0
stake-vote-econ-v2.0.0,357,correct,0,0,0
stake-vote-econ-v2.0.0,358,void,0,0,0
stake-vote-econ-v2.0.0,359,correct,0,0,0
stake-vote-econ-v2.0.0,360,void,0,0,0
stake-vote-econ-v2.0.0,361,void,0,0,0
stake-vote-econ-v2.0.0,362,correct,0,0,0
stake-vote-econ-v2.0.0,363,wrong,0,0,0
stake-vote-econ-v2.0.0,364,correct,0,0,0
stake-vote-econ-v2.0.0,365,correct,-4,-4,0
stake-vote-econ-v2.0.0,366,correct,0,0,0
stake-vote-econ-v2.0.0,367,void,0,0,0
stake-vote-econ-v2.0.0,368,correct,-1,-1,0
stake-vote-econ-v2.0.0,369,correct,-8,-8,0
stake-vote-econ-v2.0.0,370,correct,0,0,0
stake-vote-econ-v2.0.0,371,wrong,0,0,0
stake-vote-econ-v2.0.0,372,void,0,0,0
stake-vote-econ-v2.0.0,373,wrong,0,0,0
stake-vote-econ-v2.0.0,374,void,0,0,0
stake-vote-econ-v2.0.0,375,wrong,0,0,0
stake-vote-econ-v2.0.0,376,correct,0,0,0
stake-vote-econ-v2.0.0,377,wrong,-12,-12,0
stake-vote-econ-v2.0.0,378,void,0,0,0
stake-vote-econ-v2.0.0,379,void,0,0,0
stake-vote-econ-v2.0.0,380,wrong,0,0,0
stake-vote-econ-v2.0.0,381,void,0,0,0
stake-vote-econ-v2.0.0,382,void,0,0,0
stake-vote-econ-v2.0.0,383,wrong,0,0,0
stake-vote-econ-v2.0.0,384,void,0,0,0
stake-vote-econ-v2.0.0,385,void,0,0,0
stake-vote-econ-v2.0.0,386,void,0,0,0
stake-vote-econ-v2.0.0,387,void,0,0,0
stake-vote-econ-v2.0.0,388,wrong,0,0,0
stake-vote-econ-v2.0.0,389,wrong,0,0,0
stake-vote-econ-v2.0.0,390,wrong,0,0,0
stake-vote-econ-v2.0.0,391,wrong,0,0,0
stake-vote-econ-v2.0.0,392,void,0,0,0
stake-vote-econ-v2.0.0,393,void,0,0,0
stake-vote-econ-v2.0.0,394,wrong,0,0,0
stake-vote-econ-v2.0.0,395,correct,0,0,0
stake-vote-econ-v2.0.0,396,wrong,0,0,0
stake-vote-econ-v2.0.0,397,wrong,0,0,0
stake-vote-econ-v2.0.0,398,wrong,0,0,0
stake-vote-econ-v2.0.0,399,correct,-1,-1,0
stake-vote-econ-v2.0.0,400,wrong,0,0,0
stake-vote-econ-v2.0.0,401,void,0,0,0
stake-vote-econ-v2.0.0,402,correct,0,0,0
stake-vote-econ-v2.0.0,403,correct,0,0,0
stake-vote-econ-v2.0.0,404,correct,0,0,0
stake-vote-econ-v2.0.0,405,void,0,0,0
stake-vote-econ-v2.0.0,406,void,0,0,0
stake-vote-econ-v2.0.0,407,correct,0,0,0
stake-vote-econ-v2.0.0,408,wrong,0,0,0
stake-vote-econ-v2.0.0,409,void,0,0,0
stake-vote-econ-v2.0.0,410,void,0,0,0
stake-vote-econ-v2.0.0,411,correct,-6,-6,0
stake-vote-econ-v2.0.0,412,void,0,0,0
stake-vote-econ-v2.0.0,413,wrong,0,0,0
stake-vote-econ-v2.0.0,414,wrong,0,0,0
stake-vote-econ-v2.0.0,415,void,0,0,0
stake-vote-econ-v2.0.0,416,wrong,0,0,0
stake-vote-econ-v2.0.0,417,wrong,0,0,0
stake-vote-econ-v2.0.0,418,correct,0,0,0
stake-vote-econ-v2.0.0,419,wrong,0,0,0
stake-vote-econ-v2.0.0,420,correct,0,0,0
stake-vote-econ-v2.0.0,421,wrong,0,0,0
stake-vote-econ-v2.0.0,422,wrong,0,0,0
stake-vote-econ-v2.0.0,423,wrong,0,0,0
stake-vote-econ-v2.0.0,424,correct,-2,-2,0
stake-vote-econ-v2.0.0,425,void,0,0,0
stake-vote-econ-v2.0.0,426,void,0,0,0
stake-vote-econ-v2.0.0,427,wrong,0,0,0
stake-vote-econ-v2.0.0,428,void,0,0,0
stake-vote-econ-v2.0.0,429,void,0,0,0
stake-vote-econ-v2.0.0,430,void,0,0,0
stake-vote-econ-v2.0.0,431,wrong,-1,-1,0
stake-vote-econ-v2.0.0,432,void,0,0,0
stake-vote-econ-v2.0.0,433,wrong,0,0,0
stake-vote-econ-v2.0.0,434,void,0,0,0
stake-vote-econ-v2.0.0,435,wrong,0,0,0
stake-vote-econ-v2.0.0,436,correct,-3,-3,0
stake-vote-econ-v2.0.0,437,correct,0,0,0
stake-vote-econ-v2.0.0,438,wrong,0,0,0
stake-vote-econ-v2.0.0,439,correct,-2,-2,0
stake-vote-econ-v2.0.0,440,void,0,0,0
stake-vote-econ-v2.0.0,441,wrong,-4,-4,0
stake-vote-econ-v2.0.0,442,void,0,0,0
stake-vote-econ-v2.0.0,443,wrong,-4,-4,0
stake-vote-econ-v2.0.0,444,void,0,0,0
stake-vote-econ-v2.0.0,445,correct,-8,-8,0
stake-vote-econ-v2.0.0,446,wrong,0,0,0
stake-vote-econ-v2.0.0,447,void,0,0,0
stake-vote-econ-v2.0.0,448,wrong,-4,-4,0
stake-vote-econ-v2.0.0,449,correct,0,0,0
stake-vote-econ-v2.0.0,450,correct,0,0,0
stake-vote-econ-v2.0.0,451,wrong,0,0,0
stake-vote-econ-v2.0.0,452,correct,-4,-4,0
stake-vote-econ-v2.0.0,453,void,0,0,0
stake-vote-econ-v2.0.0,454,correct,0,0,0
stake-vote-econ-v2.0.0,455,wrong,0,0,0
stake-vote-econ-v2.0.0,456,wrong,0,0,0
stake-vote-econ-v2.0.0,457,correct,0,0,0
stake-vote-econ-v2.0.0,458,void,0,0,0
stake-vote-econ-v2.0.0,459,wrong,0,0,0
stake-vote-econ-v2.0.0,460,correct,0,0,0
stake-vote-econ-v2.0.0,461,void,0,0,0
stake-vote-econ-v2.0.0,462,void,0,0,0
stake-vote-econ-v2.0.0,463,correct,0,0,0
stake-vote-econ-v2.0.0,464,void,0,0,0
stake-vote-econ-v2.0.0,465,wrong,0,0,0
stake-vote-econ-v2.0.0,466,correct,-2,-2,0
stake-vote-econ-v2.0.0,467,void,0,0,0
stake-vote-econ-v2.0.0,468,void,0,0,0
stake-vote-econ-v2.0.0,469,void,0,0,0
stake-vote-econ-v2.0.0,470,void,0,0,0
stake-vote-econ-v2.0.0,471,wrong,0,0,0
stake-vote-econ-v2.0.0,472,wrong,0,0,0
stake-vote-econ-v2.0.0,473,correct,0,0,0
stake-vote-econ-v2.0.0,474,wrong,0,0,0
stake-vote-econ-v2.0.0,475,wrong,0,0,0
stake-vote-econ-v2.0.0,476,correct,-3,-3,0
stake-vote-econ-v2.0.0,477,void,0,0,0
stake-vote-econ-v2.0.0,478,wrong,0,0,0
stake-vote-econ-v2.0.0,479,correct,0,0,0
stake-vote-econ-v2.0.0,480,wrong,0,0,0
stake-vote-econ-v2.0.0,481,void,0,0,0
stake-vote-econ-v2.0.0,482,void,0,0,0
stake-vote-econ-v2.0.0,483,wrong,0,0,0
stake-vote-econ-v2.0.0,484,void,0,0,0
stake-vote-econ-v2.0.0,485,correct,0,0,0
stake-vote-econ-v2.0.0,486,void,0,0,0
stake-vote-econ-v2.0.0,487,wrong,0,0,0
stake-vote-econ-v2.0.0,488,correct,-2,-2,0
stake-vote-econ-v2.0.0,489,correct,-16,-16,0
stake-vote-econ-v2.0.0,490,wrong,0,0,0
stake-vote-econ-v2.0.0,491,correct,0,0,0
stake-vote-econ-v2.0.0,492,correct,0,0,0
stake-vote-econ-v2.0.0,493,correct,0,0,0
stake-vote-econ-v2.0.0,494,void,0,0,0
stake-vote-econ-v2.0.0,495,void,0,0,0
stake-vote-econ-v2.0.0,496,correct,0,0,0
stake-vote-econ-v2.0.0,497,correct,0,0,0
stake-vote-econ-v2.0.0,498,correct,0,0,0
stake-vote-econ-v2.0.0,499,void,0,0,0
